model,threshold,auc_mean,auc_sd,n_splits
l2_logistic,0.09090909090909091,0.5655318341336422,0.022213364342127707,10
l2_logistic,0.18181818181818182,0.5671396840354671,0.034953321290232195,10
l2_logistic,0.2727272727272727,0.5638665726849232,0.04707093157369805,10
l2_logistic,0.36363636363636365,0.5532802761107286,0.03945847831855396,10
l2_logistic,0.4545454545454546,0.550912570214825,0.042679203764112286,10
l2_logistic,0.5454545454545454,0.553565541154778,0.05047459592442617,10
l2_logistic,0.6363636363636364,0.5472880254047421,0.04801443983716992,10
l2_logistic,0.7272727272727273,0.5443889687759532,0.07046403565583462,10
l2_logistic,0.8181818181818182,0.5332871016011953,0.09009364735391137,10
l2_logistic,0.9090909090909092,0.5583224480199553,0.06564303564259992,10
xgboost,0.09090909090909091,0.5646658435983654,0.02826627107158384,10
xgboost,0.18181818181818182,0.5679592896502271,0.025173530922201353,10
xgboost,0.2727272727272727,0.5526356714570013,0.04004505000557628,10
xgboost,0.36363636363636365,0.542445664199664,0.04637332013398697,10
xgboost,0.4545454545454546,0.5415891999736602,0.04389345864280691,10
xgboost,0.5454545454545454,0.5338257378263912,0.05719045725734902,10
xgboost,0.6363636363636364,0.5454296542196639,0.052266345971305084,10
xgboost,0.7272727272727273,0.559982038377622,0.07230139606925935,10
xgboost,0.8181818181818182,0.5566937253119019,0.08495545383450029,10
xgboost,0.9090909090909092,0.6193016021561913,0.05933653214158075,10
